student_id,final_score,grade,pass_fail,previous_score,math_prev_score,science_prev_score,language_prev_score,daily_study_hours,attendance_percentage,homework_completion_rate,sleep_hours,screen_time_hours,physical_activity_minutes,motivation_score,exam_anxiety_score,parent_education_level,study_environment
S0032,48.13586232,F,0,49.3788268,47.18017151,50.11279186,46.2010376,2.1558741,63.30605454,78.01511019,7.438306957,1.565498697,36.67431952,4.601015957,5.006257804,Master,Moderate
S0033,62.10276856,D,1,43.57783761,50.81272704,51.63894076,52.27209437,2.508215724,62.35589077,77.19105761,7.079406649,1.781657192,110.2308486,6.114586153,3.513951826,Master,Quiet
S0034,96.66228463,A,1,92.18870455,93.17147843,96.67290113,90.58249072,2.573282682,88.38932228,82.28378636,7.877251019,3.185168627,106.2913078,6.417836801,1.806180952,Bachelor,Quiet
S0035,88.69064945,B,1,93.10976182,98.26898452,91.76710858,102.272547,3.178221299,85.61386872,80.70241038,6.91691589,2.984446965,119.3330888,4.099222747,4.919830526,Bachelor,Noisy
S0036,87.86351889,B,1,84.46185415,77.03405228,80.00589302,88.53261296,1.639519053,81.71299281,71.082578,6.934415719,4.717721348,91.14541393,8.88875201,1,Master,Moderate
S0037,73.22774604,C,1,56.7537573,58.08900863,45.9946803,59.16409094,3.764986655,67.30750281,95.82519852,5.891390597,3.903685699,114.3019134,6.155160414,5.278464605,High School,Moderate
S0038,50.21244326,D,1,45.37196627,49.82012025,41.77619967,47.21563201,1.670266157,67.53756414,73.26112882,7.707794643,2.940665405,104.4254123,7.482508995,2.708941721,High School,Moderate
S0039,65.73426301,C,1,77.63281646,78.0442364,76.57716526,79.60180295,2.241233928,80.91020803,66.95163132,7.969965153,1.853801417,105.99837,4.443779124,6.21838963,Master,Moderate
S0040,63.52666822,D,1,64.20838716,69.53578903,59.27248952,54.57002426,3.013380522,73.20711127,78.86542484,7.408461402,2.134185512,81.22274134,5.049980973,3.45138353,Bachelor,Moderate
S0041,56.69256105,D,1,46.71210292,44.12566067,46.05581808,45.31768595,4.185762246,57.00129285,90.13179893,6.723277239,3.877505092,64.41281381,9.338162352,1.856052131,High School,Noisy
S0042,80.23803272,B,1,67.23473006,74.28146726,67.61898947,71.46051991,3.957876933,71.72446631,92.025042,7.264841795,3.117194024,114.1102265,7.652125167,3.648976896,High School,Moderate
S0043,55.1052809,D,1,41.89136866,53.38585928,40.76708875,41.64688274,3.582137426,65.43903013,89.25314203,8.072004067,3.574637544,68.89054581,9.701704301,1,High School,Quiet
S0044,94.94839897,A,1,90.01262211,88.19842931,86.76260921,82.98667288,1.623093042,85.19479392,62.03646705,6.562365498,1.853387177,78.49374305,9.992500206,1,Bachelor,Quiet
S0045,55.93514965,D,1,54.23289899,52.00538638,55.07617235,53.97087674,3.188181382,70.41410684,82.22100639,7.096654315,4.314531262,70.15028764,6.231160692,4.264604881,Master,Moderate
S0046,77.29556854,C,1,76.43872564,83.70564803,78.64842889,84.95925322,1.349786007,87.05192182,53.39822341,5.965383238,5.262693704,80.83364826,5.792818384,4.851570069,Bachelor,Noisy
S0047,57.80086629,D,1,57.14410918,65.04196991,51.6921138,63.37856776,2.509452707,73.76508494,82.3042521,7.303131542,2.289697534,72.34545711,9.150136331,1,High School,Noisy
S0048,75.86275906,C,1,68.60374116,65.98944103,75.65840306,68.29372112,2.654066121,74.76766227,73.97879001,6.838788602,3.457571129,34.31708027,9.991668562,1,Master,Moderate
S0049,61.50844756,D,1,70.06906536,67.96813128,69.5761247,74.82631175,1.159245758,72.47958683,61.87177728,6.022549878,5.877636645,109.3843367,7.777847405,1.624771534,Bachelor,Quiet
S0050,64.88074886,D,1,50.16699505,48.75807201,50.26124317,48.33445995,2.095952398,52.31574955,69.41127541,7.194904825,2.666208703,69.9954437,8.770844335,1.339573712,Master,Moderate
S0051,100,A,1,93.32715453,86.60490197,96.86822664,84.80779659,4.822597869,85.82165265,103.9561166,6.24034491,3.975231725,83.00492837,8.690475153,2.506703379,High School,Moderate
S0052,75.1054281,C,1,82.63230528,78.03904555,83.79838594,78.00997534,4.814530431,79.68609016,83.95777211,8.079296668,1.450978501,42.52690225,6.132038249,3.096919594,Bachelor,Moderate
S0053,92.58857389,A,1,91.67244179,86.65173795,96.43812496,99.48688563,2.409308217,87.78805186,74.01003046,5.893905741,4.030075012,30.30490632,7.445622282,3.555198216,Master,Noisy
S0054,91.67156551,A,1,89.21550427,85.37651645,90.6511251,87.84553886,1.172400436,83.838226,61.19491057,7.835434596,1.448158867,52.07610843,8.998341648,1,Bachelor,Noisy
S0055,74.19922829,C,1,72.88449883,72.7110744,69.82231196,71.66757894,1.716379757,74.84032412,64.89561564,6.097878921,5.796177177,93.41274289,8.128683258,1.02368953,High School,Quiet
S0056,82.3950179,B,1,90.70308293,91.87415659,92.51060055,89.20389194,2.568871174,76.45454681,84.31984447,6.041043575,4.57831326,38.92750771,4.126982884,6.691611734,Master,Quiet
S0057,60.08733835,D,1,44.86708761,52.61959008,39.14845658,54.38777056,4.791118792,57.73370466,93.47454062,6.618952003,4.940798941,111.7998696,6.020234013,4.901702365,High School,Moderate
S0058,52.44199149,D,1,50.77905743,45.78728723,51.32185596,58.90885201,1.564796254,67.77278392,69.50694343,5.865367915,4.520521804,49.35203124,4.86685418,5.984555757,Master,Quiet
S0059,51.61385376,D,1,42.48750089,47.40911288,42.32135094,53.58140206,4.054063375,69.8232886,92.32189769,6.835263357,3.94864518,48.41342529,5.397833272,3.286369319,High School,Moderate
S0060,70.39357026,C,1,57.89316819,56.82322397,56.85258391,57.09794214,1.434730157,68.45895718,70.65489784,6.313692374,3.249563905,46.33571655,9.432936865,1,High School,Quiet
S0061,65.55002739,C,1,61.37725093,61.12993238,60.73456338,62.85537338,4.92503031,72.32768083,95.91435767,6.643075973,5.291866899,31.25835417,4.221359733,6.601628859,Bachelor,Moderate
S0062,54.7730691,D,1,54.92419675,58.29829421,45.51495152,47.340984,2.526465996,72.22448916,71.59981547,5.802567832,5.784178338,99.46249216,5.318804272,4.722737569,High School,Noisy
S0063,89.89414722,B,1,85.580563,79.9669529,82.83693846,92.96523513,4.100938156,78.73581182,96.48973109,6.725948732,3.495180865,108.7531078,5.857416113,3.06889104,Bachelor,Moderate
S0064,57.30690802,D,1,59.62143297,61.5334817,60.08565747,53.78253521,2.370364331,71.6447867,75.83024985,6.44967212,5.657675246,85.27464324,7.701304432,2.757013507,High School,Noisy
S0065,57.32076415,D,1,55.45139803,56.28365907,56.25067999,56.53527585,3.510675509,64.02324848,77.38206835,6.438729579,3.91666455,46.93799835,7.204610141,2.0805826,High School,Noisy
S0066,61.35362236,D,1,69.84828457,72.31054089,64.70990887,64.36177194,1.768064339,79.24826448,64.98411832,6.86344172,3.691920934,55.67501972,5.309616897,6.484907951,High School,Quiet
S0067,54.35091287,D,1,47.75083237,49.19667559,54.07937158,44.80649824,1.584084077,64.63243143,67.77275404,6.26136065,3.272413665,72.83340276,4.985446403,6.559395059,Master,Quiet
S0068,82.57647646,B,1,84.12083394,96.39733464,79.7899597,79.93452179,4.752256558,83.55267604,101.7113867,7.70150616,2.046438808,115.8911356,5.420788208,5.183309219,Bachelor,Noisy
S0069,60.22029928,D,1,44.1002854,40.91158548,48.94757141,41.0609091,4.670589112,58.13714971,93.30973785,8.576877412,1.018598304,52.26162346,7.01517776,4.345828945,Master,Moderate
S0070,89.12553863,B,1,94.27878151,91.62379674,96.41475332,91.583168,4.549875761,90.67455255,80.92747766,8.733845094,2.207531134,95.84813135,5.627066714,4.437724636,Bachelor,Moderate
S0071,86.33161272,B,1,82.47346231,79.35775968,79.24232576,79.73211834,3.501733801,91.66029576,87.63345394,6.980999316,3.548615858,69.5503401,9.68561501,1.079822485,High School,Quiet
S0072,64.31781355,D,1,50.92936248,48.15197689,59.80591695,55.09603204,4.233072845,60.42512277,86.229125,7.524162142,2.899799761,56.80626135,6.783191329,4.694528967,Master,Moderate
S0073,39.43663683,F,0,40.30371644,37.11678081,34.33553228,34.77940248,1.276147748,58.45306318,52.67478349,6.136959322,3.24242614,71.03243433,4.352776099,5.892722583,Bachelor,Moderate
S0074,80.9768178,B,1,84.85037857,90.79546122,89.44614943,85.9530857,2.339156168,83.58322665,59.22993205,6.980394834,5.903241098,36.40860458,8.375598435,1.369214393,High School,Moderate
S0075,87.89101415,B,1,78.87715391,85.97967515,83.8800655,84.96694967,2.254812499,83.37060802,76.61802929,7.562705696,2.751361853,101.8818634,5.973071729,2.322306313,Bachelor,Noisy
S0076,86.38708134,B,1,80.09539424,77.24166277,76.7422932,77.52941242,3.542581288,77.24996569,86.06890013,6.779758868,3.260914697,51.89717352,7.920933592,1.995932882,Bachelor,Noisy
S0077,74.72658741,C,1,82.41986907,78.2580912,89.38219557,78.83027461,2.423831094,67.04478308,73.11002904,8.118317073,1.667577757,95.28709109,5.677566223,5.145856961,High School,Moderate
S0078,53.56933164,D,1,44.07245585,46.42953363,42.82222327,42.91983272,1.594027127,68.83217539,72.88539308,7.500825363,1.239788662,36.15135343,7.42446245,3.521170977,Master,Quiet
S0079,81.31291555,B,1,59.71561507,56.95449985,61.15908322,65.61424111,3.385868302,73.66033813,87.04530643,6.307873137,4.877047573,115.9588701,8.632915029,1.871450037,High School,Moderate
S0080,70.89459626,C,1,46.37279827,49.53745736,47.67440747,47.34333643,4.257535683,54.47166148,100.656857,7.0816427,3.853415875,47.37134869,9.568052451,1,Master,Quiet
S0081,78.6628511,C,1,87.47068842,88.48530353,86.79914472,84.81461695,2.528493978,80.69750025,68.32126242,6.027265541,4.80352403,109.4467869,5.566762867,2.456415564,Bachelor,Noisy
S0082,70.64205844,C,1,74.28139698,66.7026764,78.33543834,76.70078023,1.52907486,84.98161064,65.11799548,7.986018184,1.749313994,102.8525889,6.009141706,3.495643196,Bachelor,Moderate
S0083,62.24234822,D,1,58.19939137,65.93691737,62.16683497,52.68793062,1.786752789,76.33867778,59.78396102,6.314261937,3.859143856,117.1073932,6.785598522,2.910056607,Bachelor,Moderate
S0084,60.66479366,D,1,43.49570927,52.47509763,34.7530494,46.90250682,1.949933221,66.44105475,68.35242055,6.794508894,2.268212372,73.01015949,9.563049026,1,Master,Quiet
S0085,68.52995192,C,1,57.10402769,54.04008424,63.62572891,59.14706423,2.199590372,67.67145168,70.75282445,6.90306238,2.140309085,95.46575645,9.408321141,1.210235216,High School,Quiet
S0086,67.54222469,C,1,57.88508271,55.94657491,49.57262277,56.34604036,3.571180282,69.35747845,88.84487101,8.062460998,1.05763007,63.36395913,4.539269681,7.44640673,Master,Moderate
S0087,77.60807471,C,1,80.12833981,81.55766676,85.29107083,75.93541082,3.403781938,79.40954088,84.26563879,7.196101234,1.651703618,46.59314142,4.791578955,5.331950247,Bachelor,Moderate
S0088,74.18333614,C,1,75.06566092,76.73794487,80.69918661,70.63225631,3.784319446,83.17402938,90.96023015,6.562099941,2.546340557,69.87683396,6.973055064,2.810213147,Bachelor,Quiet
S0089,82.55266972,B,1,88.79670084,92.08942221,83.34186869,91.47078752,2.450007938,80.01913839,78.01728005,7.221841859,1.584393803,44.91741138,4.639715637,5.10106255,High School,Noisy
S0090,72.29469029,C,1,65.97182088,76.02284358,63.91774944,72.1167234,4.295990608,68.95691217,103.7345495,6.205191154,5.929292202,118.3840161,6.07348524,4.050899527,Master,Quiet
S0091,39.83533076,F,0,46.57768353,45.69294739,41.04916018,43.39114479,1.816350645,68.3402147,66.58702317,6.646564785,2.543163243,38.6621842,4.890312269,4.28139397,Bachelor,Moderate
S0092,78.46444945,C,1,79.2284633,75.23697707,78.15385815,81.52039682,2.87616299,79.39242437,74.0565164,6.928673525,1.651619734,83.02905511,7.816242131,2.303956428,Master,Noisy
S0093,90.2459428,A,1,81.84317767,74.94658153,80.30300625,71.40804258,4.203754886,87.81392561,93.26796694,8.457024698,1.995411564,86.38174697,9.69697259,1,Master,Noisy
S0094,79.81989676,C,1,70.87024587,67.21559567,74.76854853,67.94715721,1.720634591,72.0775619,63.19494577,6.388162456,3.938516142,78.42715886,9.980402622,1,High School,Noisy
S0095,70.4736164,C,1,82.4031949,82.23756003,88.95473863,82.24790023,1.439452455,80.92770565,71.80432839,7.44241353,1.320217619,89.59672971,6.251446795,4.206095139,High School,Noisy
S0096,80.83042775,B,1,67.1587578,76.13154712,74.13717685,62.61034072,4.534735871,68.96731398,93.93126851,6.222730304,5.312170651,40.45626975,7.594075823,2.839671787,Bachelor,Moderate
S0097,83.68664374,B,1,68.75030562,66.16224912,65.93946548,64.06777374,2.371718651,74.41196622,70.88930467,6.047072077,5.807498396,79.95166718,9.137605921,1,High School,Noisy
S0098,63.363266,D,1,63.51475601,64.63369577,62.46864664,60.17585823,3.7354805,64.36464332,84.99822639,7.640552239,2.233737103,55.8491314,4.704772437,5.932097722,Master,Quiet
S0099,46.48021286,F,0,41.39805197,41.31593749,32.98086101,42.85901561,1.101394417,58.26085888,64.60603129,7.498928572,3.250476343,114.6158457,8.137386466,1.191598688,High School,Quiet
S0100,63.12696881,D,1,45.93402848,51.87599485,41.90467815,44.99738339,3.760187554,55.78574492,86.81314062,7.513821108,1.110672255,98.58644881,6.45306197,2.451098867,Master,Quiet
S0101,51.31760839,D,1,41.72860521,54.36326734,46.55286338,30.53744905,2.264405246,64.33391877,69.43571836,6.12069552,4.203551124,117.5263034,5.236876962,3.65867121,Bachelor,Moderate
S0102,76.83225634,C,1,75.00257262,72.34822875,83.08048674,64.39907186,1.222963414,81.08423301,70.55639373,7.716331027,3.06963029,33.38004628,6.416521712,4.017019898,Master,Noisy
S0103,56.33643209,D,1,57.28957896,54.84238175,51.1178346,54.25525307,3.439251046,59.99347583,80.11166126,7.247241755,2.350292331,55.66198577,4.455761722,5.321663351,High School,Quiet
S0104,77.7902017,C,1,67.97138801,73.1921924,65.00906672,70.25982094,1.963215264,80.65512273,69.80998301,8.254905242,2.034185553,47.5880328,8.172442892,1,High School,Quiet
S0105,87.11059859,B,1,89.91615607,93.32561351,89.78412728,76.17863185,2.547228968,97.44515367,78.73382044,5.596172435,4.270115388,31.00391286,5.516456012,4.961581803,Bachelor,Quiet
S0106,53.79069615,D,1,53.7110726,62.94460923,55.1118784,51.21242172,1.322323249,67.08556824,55.06655694,7.173376064,3.081085155,51.80931572,5.86843387,2.691957999,High School,Noisy
S0107,57.14625533,D,1,62.57106077,65.49070169,58.52304317,59.93982148,1.588653004,68.07995908,68.28783255,8.389814233,1.898296445,91.08983852,4.726487789,5.413333569,Bachelor,Quiet
S0108,85.27993955,B,1,81.55531262,79.75885217,83.67561784,88.49700151,2.191908942,94.89930926,66.64355104,6.48970431,4.445545407,50.79800299,9.187954683,1.050544242,Bachelor,Noisy
S0109,46.73980598,F,0,52.5838991,55.53717326,50.21470237,50.65879004,1.359038002,59.69710706,67.70429393,6.739644864,3.825361415,75.81031009,6.960665676,3.924911406,High School,Noisy
S0110,57.17335083,D,1,44.23389504,49.77741294,44.16163369,46.14883996,4.643305059,62.21747985,91.61979553,6.559747763,5.293360275,109.9036303,7.432881267,4.34880352,Master,Noisy
S0111,68.80641685,C,1,55.93632991,60.03874082,58.66775115,56.64261561,1.024188173,68.86627632,63.70572689,7.244388242,1.587379494,92.43821283,7.416596099,1.218727576,Bachelor,Moderate
S0112,61.35910999,D,1,48.8671708,51.40354095,48.89928215,38.2143384,2.935440875,71.1593235,84.88357409,6.365464131,4.92833301,65.51661629,6.462958687,3.484567457,Master,Moderate
S0113,78.25803333,C,1,91.13337088,96.46674433,88.95144143,94.97440696,1.492989833,87.36538032,69.23708095,6.520817273,4.367583934,63.5222045,5.155179493,4.568485212,High School,Noisy
S0114,86.88817021,B,1,84.44662088,90.29309883,83.89857186,85.5236034,2.230716358,79.73014096,73.56374682,7.213773228,1.575054684,71.01622326,8.470796491,1.962953195,Master,Noisy
S0115,82.2813484,B,1,74.83720661,81.74800156,74.39539181,77.37854981,4.704238239,72.66268145,95.88587768,7.27219718,4.474103649,45.9337297,4.762337592,5.453331179,Master,Moderate
S0116,81.00439445,B,1,87.93033246,91.1738819,86.08027731,107.561521,1.646778213,82.25605713,63.58568425,7.268218083,3.207736444,87.06006907,4.623242742,5.024211016,Master,Moderate
S0117,96.62189026,A,1,84.20196423,83.36637383,82.90798392,73.78139953,4.863329279,77.06634531,105.9884662,6.407836938,5.724923928,62.77375372,8.260870226,1.298227586,Master,Noisy
S0118,57.22453344,D,1,50.26135324,50.99492167,58.25458909,58.88483649,1.823177508,65.36980322,64.73429898,7.891868478,1.708056753,106.7128814,5.253022123,3.630527022,High School,Moderate
S0119,88.67441448,B,1,89.09074492,95.12328975,91.89534216,87.65350732,3.966264434,81.72439156,84.47731397,6.603571997,4.214166954,98.08973941,5.840636508,5.147225074,High School,Quiet
S0120,71.41335172,C,1,69.66382331,65.57914495,68.18642172,71.10046783,3.18670906,67.36172269,85.19393527,6.739928023,2.909900227,84.94618477,6.851364802,3.60783938,Master,Noisy
S0121,82.26268576,B,1,84.40920853,86.25257508,87.89398056,84.18164731,4.53791491,88.48033321,91.39846509,5.963465842,5.784073353,62.77820004,6.6961079,4.221660297,High School,Noisy
S0122,94.76306106,A,1,89.2850215,87.31832743,87.61592405,87.16383983,3.215973022,82.15414813,77.40941273,7.205929178,2.649874476,48.89386485,8.25147475,1.438129113,High School,Moderate
S0123,64.61009182,D,1,57.49019112,57.63391524,63.35581431,54.64102648,3.138236877,62.40441154,74.16434746,5.727115282,5.810929547,99.85366777,7.740590761,1.602573771,Bachelor,Quiet
S0124,46.68398797,F,0,46.05285585,52.44511516,47.90106681,47.70039953,1.781832001,62.18513225,65.40377082,6.097640715,5.507429256,73.77681891,7.866376974,1.05530796,High School,Moderate
S0125,55.53284017,D,1,52.53643394,53.49192928,51.99992322,44.95056546,1.664917448,66.6100748,66.23559936,7.036366826,2.351916177,50.22750344,8.284325984,2.0745916,Master,Quiet
S0126,75.68728909,C,1,63.49092837,63.72311112,65.729513,67.24382421,4.665956604,63.01313056,97.87502468,7.55696545,5.017708884,47.56571535,5.755676365,3.204530411,High School,Quiet
S0127,65.31845427,C,1,84.99081213,78.19153142,77.13643137,82.9098401,2.311352795,84.1536444,77.87005918,4.819686227,5.978021009,44.88608141,5.933999871,5.914663198,High School,Noisy
S0128,80.06186963,B,1,87.34018208,91.07144991,81.70634473,81.68983538,2.48832902,78.4343032,77.51777982,7.231195636,2.263315011,99.94450766,6.627986487,2.064370932,High School,Quiet
S0129,52.74870776,D,1,40.38236718,43.60978808,34.41274215,38.13230289,4.039294634,68.74632764,89.43858524,7.907681142,3.183885847,50.60884668,5.844773038,4.428887081,High School,Noisy
S0130,84.96601778,B,1,68.09110164,78.90737526,68.80581712,74.37684773,2.35529393,76.66535338,72.56196092,6.980651127,3.600903683,77.39780372,9.909627214,1.657227493,Bachelor,Quiet
S0131,85.63105007,B,1,62.95760517,61.418714,71.62018017,60.28092974,4.808249787,69.47930264,100.6332852,7.634312033,2.474655679,70.63917249,8.884311559,1.714778201,Master,Noisy
S0132,69.76284804,C,1,52.21592958,53.31168121,63.37243031,54.00819767,3.951711076,62.38212594,95.87996157,7.727015898,1.076324198,82.16498093,4.98792813,5.187745583,Master,Quiet
S0133,53.45086729,D,1,46.5925952,47.83951362,49.78285071,42.93781382,3.38971697,62.77145906,84.5287407,7.036139443,2.100646221,108.943941,4.033564935,4.997951418,High School,Moderate
S0134,67.32032297,C,1,58.56883443,66.45610083,61.0730568,62.35844368,4.523580642,72.34837092,92.89015215,6.156136706,2.409684422,108.0972651,4.256699609,4.361531202,High School,Quiet
S0135,81.54996507,B,1,91.86003372,91.38355605,82.85474504,95.28757241,1.198423633,85.80254621,57.01990633,7.137328292,3.217998507,70.59684646,5.464380706,5.305669403,Bachelor,Moderate
S0136,50.02766609,D,1,57.77616126,59.17126889,55.06279226,67.01920543,2.028250769,67.80228659,63.05648137,7.05554298,1.855512392,31.38296257,4.685747715,6.820399526,High School,Quiet
S0137,67.59685519,C,1,68.5334842,71.57296674,64.59456544,67.65566447,2.860145337,74.55859355,81.93280173,5.989950762,5.366271783,68.37994251,7.200028689,2.36112132,Bachelor,Quiet
S0138,74.79090038,C,1,78.66604274,79.59908836,75.56180475,82.00931676,1.907914158,76.31372671,71.9690342,6.393139673,4.524555664,84.55741837,9.147971336,1,Master,Noisy
S0139,80.32854459,B,1,59.99962813,57.76746006,59.15890904,60.48996583,3.975620749,68.28378443,92.64302512,8.444629987,1.426002388,80.19882832,8.420501325,1,Master,Quiet
S0140,88.25358665,B,1,93.44801455,94.41846451,91.08756166,99.92737346,4.676832124,76.29504508,96.12502401,7.927280094,4.250462256,88.62024952,5.293654378,3.725580778,Bachelor,Quiet
S0141,93.22570323,A,1,92.93460122,98.30275997,83.03810217,89.34043928,2.69508048,91.33593177,83.98547853,6.828119254,4.268282382,43.86681592,6.395795536,3.490547621,Master,Quiet
S0142,56.81466186,D,1,53.84802627,48.71544977,57.58757755,57.57305283,2.3685304,68.41800204,71.26471153,6.033284628,5.781105868,88.18815889,7.047365257,4.551757984,High School,Moderate
S0143,89.14064949,B,1,67.34866782,68.01351619,61.9849527,66.37518134,4.846202929,69.80705469,103.2383755,7.106855484,1.015104357,46.43864569,8.861235097,1.811898595,High School,Noisy
S0144,62.9274733,D,1,56.54830704,53.04770297,57.74454136,56.22736615,2.779409731,77.76782843,77.60038284,7.562371406,2.239662249,97.54715826,9.034729619,1.270355786,Bachelor,Noisy
S0145,66.02094289,C,1,55.66622719,61.64146034,66.03664054,56.12498961,2.956193602,68.268196,76.52018219,7.199765581,5.638957397,60.51788519,9.458309871,1,Master,Quiet
S0146,50.12548952,D,1,42.0287821,34.41284758,37.43185915,43.28998409,2.406599489,55.83367319,77.02864643,6.178128933,5.660669577,93.890589,7.055471503,2.36136278,Master,Quiet
